"Código
CUOC","Ocupación
","Descripción Completa"
72240,"
                                        Pulidores de metales y afiladores de herramientas
                                    ","Pulen, bruñen, desbastan y remueven excedentes de material sobrante en piezas fundidas, superficies y productos metálicos, así mismo, afilan herramientas que se emplean en el trabajo de metales, madera y otros usos de forma manual o con maquinaria. Se pueden desempeñar en fábricas de estructuras metálicas, de maquinaria pesada, talleres de fundición, empresas de fabricación de productos metálicos, entre otros."
72310,"
                                        Mecánicos y reparadores de vehículos de motor
                                    ","Afinador de motores de vehículos. Ajustador de motor diésel para transporte en carretera. Ajustador de motores de vehículos. Alineador automotriz. Alineador mecánico. Alineador mecánico automotor. Alineador y sincronizador. Auxiliar técnico de taller de mecánica. Mecánico automotriz. Mecánico automotriz de industria petrolera. Mecánico automotriz de transmisiones. Mecánico autotrónica. Mecánico de alineación y balanceo. Mecánico de alineación y suspensión. Mecánico de automóviles. Mecánico de dirección y frenos de automóvil. Mecánico de dirección y frenos de automóviles. Mecánico de patio de automotores. Mecánico de radiadores de automotores. Mecánico de servicio automotor. Mecánico de taller de reparación de automóviles. Mecánico diésel de equipo automotor pesado. Técnico automotriz. Técnico de aire acondicionado automotriz. Técnico de alineación y balanceo. Técnico de alineación y suspensión. Técnico de servicio automotriz. Técnico de servicio de sistemas de frenos de automóviles. Técnico de sistema de refrigeración y aire acondicionado de vehículos. Técnico reparador de turbo de alimentadores"
72320,"
                                        Mecánicos y reparadores de sistemas y motores de aeronaves
                                    ","Ajustan, mantienen, reparan y revisan sistemas y motores de aeronaves, ensamblan sistemas hidráulicos, neumáticos y estructurales; montan y sustituyen piezas; desmontan los motores para proceder a una revisión completa y ejecutan otros trabajos de mantenimiento como engrasar las piezas móviles y examinar los frenos. Se pueden desempeñar en empresas de mantenimiento, aeronáutica, aerolíneas y fuerzas armadas, entre otros."
72331,"
                                        Mecánicos industriales
                                    ","Ajustador de mandriladora de metales. Ajustador de mantenimiento de maquinaria industrial. Ajustador de máquina de imprenta. Ajustador de máquina inyectora de plástico. Ajustador de máquinas de labra madera. Ajustador de máquinas fijas. Ajustador de motores de tren. Ajustador de turbinas en industria. Ajustador montador de turbinas de industria. Ayudante de mecánica de mantenimiento. Ayudante de mecánico diésel. Ayudante técnico de mecánica industrial. Ayudante técnico de mecánico diésel en industria petrolera. Ayudante técnico mecánico de industria petrolera. Lubricador para equipo automatizado. Mecánico de ensamblaje y ajuste de maquinaria de minería. Mecánico de mantenimiento de plantas de tratamiento de agua. Mecánico de motores diésel excepto motores de automóviles"
72332,"
                                        Mecánicos de equipo pesado
                                    ","Ajustador de maquinaria agrícola. Ajustador de maquinaria pesada. Ajustador de máquinas agrícolas. Ajustador de máquinas de minería. Ajustador montador de maquinaria agrícola. Ajustador montador de maquinaria pesada. Mecánico de equipo fijo agrícola. Mecánico de maquinaria agrícola. Mecánico engrasador de motores de maquinaria agrícola e industrial"
72333,"
                                        Mecánicos de maquinaria textil, confección, cuero, calzado y marroquinería
                                    ","Ajustador de maquinaria textil. Ajustador de máquinas de tejido de punto. Ajustador de telares. Ajustador montador de maquinaria textil. Mecánico de maquinaria tintorería y acabados"
72334,"
                                        Marineros de sala de máquinas
                                    ","Aceitador engrasador de buques. Ajustador de motores marinos"
72335,"
                                        Auxiliares en automatización e instrumentación industrial
                                    ","Realizan actividades de apoyo en la automatización e instrumentación industrial relacionadas con alistamiento, mantenimiento e instalación de instrumentos de medición y control de procesos. Se pueden desempeñar en empresas de ingeniería, servicios, consultoría, procesos industriales, industrias de manufactura, centros de desarrollo tecnológico, entre otros."
72340,"
                                        Reparadores de bicicletas y afines
                                    ","Reparan, mantienen, calibran o fabrican equipos mecánicos y afines de bicicletas, triciclos, cochecitos de niño, sillas de ruedas y medios de transporte no mecanizados similares. Se pueden desempeñar en bicicleterías, talleres de reparación y mantenimiento especializado, entre otros."
73110,"
                                        Mecánicos y reparadores de instrumentos de precisión
                                    ","Ajustador de balanzas. Ajustador equipos de meteorología. Ajustador óptico de precisión. Operario de acabados de relojería. Reparador de medidores de agua"
73120,"
                                        Fabricantes y afinadores de instrumentos musicales
                                    ","Construyen, ajustan, restauran y afinan instrumentos musicales teniendo en cuenta parámetros del comportamiento acústico según el tipo de instrumento, empleando herramientas manuales o mecánicas y técnicas estandarizadas o tradicionales de transformación de materias primas, ensamble y reparación. Por lo general se especializan en un tipo de instrumento: de cuerda, viento, percusión, lengüeta, entre otros. Se pueden desempeñar en talleres o fábricas de reparación y mantenimiento de instrumentos musicales, entre otros."
73140,"
                                        Alfareros y ceramistas (barro y arcilla)
                                    ","Identifican, preparan y formulan la pasta cerámica, adaptan herramientas y utensilios para elaborar piezas que pueden ser utilitarias, decorativas o artísticas, emplean técnicas de modelado manual y con ayuda de tornos y tornetas, reproducen piezas con moldes, pulen, y aplican diferentes técnicas de acabado a las piezas cerámicas, dan acabado a la cerámica con técnicas de vidriado, bruñido, mosaico o decoración con minerales, manejan curvas de temperatura y equipos de cocción cerámica para el horneado de sus piezas. Se pueden desempeñar en talleres u organizaciones, entre otros."
73151,"
                                        Operarios de fabricación, moldeo y acabado del vidrio
                                    ","Soplan, prensan, pulen y operan maquinaria de función simple para fabricar, moldear y acabar vidrio. Se pueden desempeñar en empresas productoras de vidrio, fabricantes de productos de vidrio, entre otros."
73152,"
                                        Artesanos trabajos en vidrio
                                    ","Seleccionan, cortan, pulen, funden, soplan, decoran y ensamblan el vidrio mediante técnicas de soplado, vitrofusión, vitralería y mosaico, decorado con técnicas de grabado, talla o pintura (grisalla) para conformar piezas utilitarias, decorativas o artísticas. Emplean hornos, calderas y sopletes para procesos de soplado (a la caña y al soplete) y vitrofusión. Se pueden desempeñar en talleres, empresas artesanales u organizaciones, entre otros."
73160,"
                                        Rotulistas, pintores decorativos y grabadores
                                    ","Aguafuertista de vidrio. Azogador de espejos. Esmaltador de artículos de metal. Esmerilador de vidrio decorativo de chorro de arena. Estampador artesanal. Grabador de vidrio agua fuerte. Pintor de avisos publicitarios. Pintor de rótulos para anuncios. Pintor decorativo de alfarería. Polichador de acabado de muebles. Retocador de acabado de muebles"
73211,"
                                        Pre-impresores y pre-prensistas de artes gráficas
                                    ","Realizan labores especializadas como pruebas de impresión, formato, acabados, despachos, revisión de calidad, inventario de archivo de planchas e insumos, al igual que otros procesos de impresión y de representación en medios visuales. Se pueden desempeñar en encuadernadoras, empresas comerciales de impresión, periódicos, revistas, departamentos de impresión y encuadernación, entre otros."
73212,"
                                        Tipógrafos
                                    ","Ajustador operador de máquina fundidora de tipos. Armador de páginas. Armador de tipografía. Cajista armador de moldes de impresión"
73220,"
                                        Impresores de artes gráficas
                                    ","Preparan, operan e Instalan diversos tipos de máquinas litográficas, flexográficas, de fotograbado, de impresión digital, Entre otros, para imprimir textos, ilustraciones, empaques, periódicos, impresiones de seguridad, diseños sobre papel, plástico, metal y otros materiales. Se pueden desempeñar en empresas de impresión comercial, periódicos, revistas, en empresas públicas y privadas que cuentan con departamentos de publicaciones, entre otros."
73230,"
                                        Encuadernadores y afines
                                    ","Preparan, operan o atienden máquinas, equipo o unidades computarizadas que encuadernan y dan acabado al material impreso. Están incluidos los trabajadores que realizan las operaciones de acabado en industrias de fabricación de papel, de empaque, de cartón y laminación. Se pueden desempeñar en encuadernadoras, empresas comerciales de impresión, periódicos, revistas y otras empresas de publicaciones y establecimientos tanto del sector público como del privado con departamentos de impresión y encuadernación, entre otros."
73310,"
                                        Tejedores con telares
                                    ","Abridor de fibras textiles. Alimentador de cardas. Artesano tejedor. Artesano tejedor de alfombras. Artesano tejedor de telar. Operario artesano telar. Tejedor de alfombras. Tejedor de alfombras de telar manual. Tejedor de alfombras en telar"
73320,"
                                        Tejedores con agujas
                                    ","Elaboran objetos utilitarios y decorativos con fibras animales, vegetales o sintéticas de manera manual ayudados con diferentes tipos de agujas y técnicas de tejido dentro de las que se encuentran: el tejido de punto o tricot, el ganchillo o crochet y el tejido con aguja de ojo, que para el caso y de acuerdo con la etnia, se elaboran diferentes tipos de puntadas y diseños. Mediante el ejercicio de esta función se obtienen mochilas, bolsos, guantes, prendas de vestir, gorros, ruanas y chales, entre otros. Se pueden desempeñar en talleres, empresas u organizaciones artesanales, entre otros."
73330,"
                                        Otros tejedores
                                    ","Aplicador de tela sobre tela. Artesano bordador. Artesano bordador calador. Artesano fieltrador. Artesano ripiador. Despepitador de algodón. Tejedor de cuentas o abalorios. Trabajador de bordado y aplicaciones manuales"
73410,"
                                        Cesteros y mimbreros
                                    ","Artesano costurero de trenza. Artesano de fibras. Artesano de fique. Artesano mimbrero. Artesano tejedor de bejucos. Artesano tejedor de cañas. Artesano tejedor de cortezas. Artesano tejedor de mimbre. Artesano tejedor de palmas. Artesano tintorero. Artesano trenzador. Fabricante artesanal de cepillos. Fabricante artesanal de escobas"
73420,"
                                        Sombrereros artesanales
                                    ","Transforman fibras vegetales que obtienen de las cortezas, los tallos y las hojas de las plantas y que son dispuestas en paños, tiras e hilos para ser tejidas a mano en cintas o dispuestas mediante técnicas de tejido en la elaboración total de un sombrero. Utilizan herramientas manuales, máquinas simples o máquinas con motor como: agujas de ripiado y de costura, cuchillos, tijeras, rayadores, tarjas tipo compás, hornos para estufado o blanqueado, mazos, hormas y máquinas de costura en los casos de los sombreros tejidos a partir de cintas. Algunos de los artesanos aplican procesos de tinturado a las fibras con pigmentos naturales obtenidos de las plantas o con colorantes industriales. Se pueden desempeñar en talleres, empresas u organizaciones artesanales, entre otros."
73510,"
                                        Talladores de piezas artesanales de madera
                                    ","Elaboran y dan acabado a productos artesanales de madera con la ayuda de técnicas de talla, calado y ensamble, para elaborar de forma manual piezas utilitarias y decorativas como tallas escultóricas figurativas, objetos de uso ceremonial, bancos, bastones, bateas, máscaras, arte religioso, frisos, cabezales de mobiliario y otras piezas artesanales. Se pueden desempeñar en talleres de madera, carpinterías, entre otros."
73520,"
                                        Decoradores de piezas artesanales en madera
                                    ","Embellecen y dan acabado a piezas de madera talladas, torneadas o elaboradas mediante procesos de ebanistería, utilizando técnicas de decorado superficial como barniz de pasto, enchape con fibras vegetales, chapillas de madera, laminillas de oro y plata, al igual que decorados con técnicas pictóricas y decorados incrustados dentro del cuerpo de la pieza artesanal. Se pueden desempeñar en talleres de madera, carpinterías, entre otros."
73610,"
                                        Joyeros
                                    ","Artesano de Joyeria. Artesano filigranero. Operario de acabados de joyería"
73620,"
                                        Orfebres y plateros
                                    ","Acabador orfebre. Artesano orfebre. Artesano platero"
73630,"
                                        Bisuteros
                                    ","Ajustador operador de máquina para soldar bisutería"
73700,"
                                        Artesanos del cuero
                                    ","Transforman el cuero de curtición vegetal, mixta o al cromo, con técnicas manuales y con ayuda de equipos, herramientas y utensilios adaptados en procesos de corte, desbaste, preformado, prearmado y entintado de bordes, además de emplear técnicas de decorado y acabado artístico en artículos de cuero. Se pueden desempeñar en talleres artesanales de cuero, marroquinerías, entre otros."
73910,"
                                        Artesanos de papel
                                    ","Elaboran máscaras, títeres, lámparas, objetos utilitarios de escritorio, agendas, hojas de papel, cartones, empaques y tarjetas, por medio de la implementación de técnicas tales como papel maché, cartapesta y conformación de papeles y cartones artesanales, a partir de materiales reciclados y de fibras vegetales. Se pueden desempeñar en talleres artesanales, empresas de elaboración artículos en papel, entre otros."
73920,"
                                        Artesanos del hierro y otros metales
                                    ","Diseñan, cortan, modelan, moldean, ensamblan y conforman piezas utilitarias, decorativas o artísticas a partir de la transformación del metal en barra o en láminas con el uso de técnicas de modelado en frío, caliente y soldadura. Se pueden desempeñar en talleres de artesanías en metal, entre otros."
73930,"
                                        Artesanos de las semillas y cortezas vegetales
                                    ","Elaboran objetos a partir del procesamiento de hilos de origen vegetal extraídos de hojas, tallos, cortezas y raíces, al igual que la identificación, recolección, selección y procesamiento de semillas y cortezas vegetales algunas veces mezcladas con madera u otros materiales para elaborar bandejas, centros de mesa, cucharas, pasaboqueros, individuales, muñequería, lámparas y accesorios tales como bolsos, collares, pulseras o anillos y demás. Se pueden desempeñar en talleres de tejido artesanal, entre otros."
73991,"
                                        Artesanos trabajos en materiales líticos
                                    ","Identifican, seleccionan, cortan y disponen bloques de piedra, carbón mineral o sal de roca, con la ayuda de herramientas manuales, electro manuales y neumáticas, para elaborar modelos a escala, piezas utilitarias, decorativas o artísticas, bajo la implementación de técnicas de tallaje, cincelado, pulimento, grabado y/o ensamble. Se pueden desempeñar en talleres líticos, empresas de manufacturas, entre otros."
73999,"
                                        Artesanos de otros materiales no clasificados en otras ocupaciones
                                    ","Elaboran objetos utilitarios o decorativos en otros materiales de origen natural o sintético tales como cacho, pezuña, tela, parafina, jabón, porcelanicrom, empleando técnicas de corte, afieltrado, modelado, moldeado, costura y ensamble. Se pueden desempeñar en talleres artesanales, empresa de manufactura, entre otros."
74111,"
                                        Electricistas de obra, residenciales y afines
                                    ","Instalan, prueban, regulan y reparan sistemas de cableado eléctrico, aparatos de control, accesorios afines y equipos relacionados en edificios, fábricas y otras instalaciones. Se pueden desempeñar en departamentos de mantenimiento, constructoras, compañías de generación, transmisión y distribución de energía eléctrica, entre otros."
74112,"
                                        Ayudantes electricistas
                                    ","Ayudan a los trabajadores que realizan labores de instalación, mantenimiento y reparación de equipos, accesorios y estructuras eléctricas tales como: redes eléctricas, subestaciones, transformadores y tableros eléctricos. Se pueden desempeñar en empresas manufactureras, talleres de mantenimiento eléctrico, entre otros."
74121,"
                                        Electricistas industriales
                                    ","Ayudante de electricista automotriz. Ayudante técnico electricista en industria petrolera. Electricista ajustador de centrales eléctricas de regulación e instalaciones similares. Electricista ajustador o regulador de centrales eléctricas. Electricista astillero. Electricista automotriz. Electricista de aeronaves. Electricista de redes aéreas y subterráneas. Instalador de artefactos eléctricos. Mecánico ajustador de equipo distribución eléctrica. Mecánico de generadores para aviación. Mecánico electricista automotriz. Mecánico electricista aviones. Mecánico electricista de aeronaves. Reparador electricista automotor. Reparador eléctrico automotriz"
74122,"
                                        Reparadores de aparatos electrodomésticos
                                    ","Instalan, montan, ajustan, diagnostican y reparan electrodomésticos en edificios, residencias y establecimientos comerciales. Se pueden desempeñar en talleres de mantenimiento de línea blanca, empresas fabricantes, entre otros."
74123,"
                                        Mecánicos electricistas
                                    ","Ajustador alambrador de transformadores. Ajustador de equipo de distribución eléctrica. Ajustador de generadores eléctricos. Ajustador ensamblador motores. Mecánico de mantenimiento de ascensores. Operario de mantenimiento de ascensores. Reparador de aparatos eléctricos. Reparador de escaleras automáticas. Técnico de mantenimiento de ascensores"
74130,"
                                        Instaladores y reparadores de líneas eléctricas
                                    ","Instalan, construyen y reparan líneas aéreas y subterráneas de sistemas de distribución, transmisión y suministro de energía eléctrica. Se pueden desempeñar en empresas de servicios públicos, compañías de generación, transmisión y distribución de energía, entre otros."
74210,"
                                        Ajustadores, reparadores e instaladores en electrónica
                                    ","Instalan, mantienen, ajustan, diagnostican y reparan dispositivos electrónicos tales como señales de tráfico, sistemas de aeronavegación, equipos audiovisuales, máquinas tragamonedas, expendedoras comerciales, y demás mecanismos electrónicos. Se pueden desempeñar en talleres de mantenimiento electrónico, compañías de aeronáutica, aerolíneas, entre otros."
74221,"
                                        Técnicos instaladores de redes y líneas de telecomunicaciones
                                    ","Ajustador de instalación de redes de telecomunicaciones. Ajustador de radar. Aparejador de telecomunicaciones. Auxiliar en asistencia y soporte equipos de tecnologías de la información. Instalador de antenas. Instalador de antenas de radio. Instalador de antenas de televisión. Instalador de radio y radar de aeronavegación. Mecánico de mantenimiento de servicio de antena satelital. Reparador equipo de radio aeronaves"
74222,"
                                        Auxiliares técnicos de instalación, mantenimiento y reparación de sistemas de telecomunicaciones
                                    ","Apoyan labores relacionadas con Instalación, prueba, mantenimiento y reparación de equipos de cómputo, periféricos, líneas y redes de telecomunicaciones. Se pueden desempeñar en compañías de telecomunicación, proveedores de infraestructura de telecomunicaciones, entre otros."
74223,"
                                        Operarios de mantenimiento y servicio de televisión por cable
                                    ","Ajustador de instalación de televisión por cable. Operario de montaje de antenas de televisión por cable. Técnico de montaje de antenas de televisión por cable"
75110,"
                                        Carniceros, pescaderos y afines
                                    ","Sacrifican animales, limpian y preparan cortes, retiran huesos, conservan carne, pollo, pescado y otros productos cárnicos secándolos, salándolos o ahumándolos. Se pueden desempeñar en supermercados, carnicerías, pescaderías, establecimientos de sacrificio, preparación y empaque de carne y aves, entre otros."
75121,"
                                        Panaderos, pasteleros y confiteros
                                    ","Amasador de panadería. Artesana de amasijos. Confitero de amasijos y dulces tradicionales. Operario de fabricación de pastas alimenticias. Preparador de amasijos y dulces tradicionales. Procesador dulces artesanales. Trabajador de preparación de almíbares de frutas"
75122,"
                                        Transformadores de caña panelera
                                    ","Amasador de panela. Arrumador de panela. Atizador de panela. Operario de trapiche de caña de azúcar"
75130,"
                                        Operarios de la elaboración de productos lácteos
                                    ","Controlar e inspeccionar la calidad de productos elaborados para detectar irregularidades antes de su envasado tomando muestras, inspeccionando y ajustando la máquina y las condiciones de procesamiento en caso de ser necesario.. Salar, agujerear o untar el queso con un baño de cultivo para el crecimiento de moho y colocar los bloques en estantes para girarlos y curar el queso.. Verter cantidades medidas de fermento y de otros ingredientes para cuajar la leche hasta que tome la consistencia deseada, escurrir el agua y meter el queso en los moldes para formarlos por presión.. Desempeñar funciones afines."
75140,"
                                        Operarios de la conservación de frutas, legumbres, verduras y afines
                                    ","Preparan o conservan frutas, nueces y alimentos relacionados de varias maneras, incluyendo: cocción, secado y salazón o extracción de jugo (zumo) o aceite, operan maquinaria de control de proceso multifuncional o máquinas de función simple para elaborar conservas, deshidratación, fermentación, entre otros de alimentos y bebidas. Se pueden desempeñar en plantas de procesamiento de frutas y verduras, entre otros."
75150,"
                                        Catadores y clasificadores de alimentos y bebidas
                                    ","Inspeccionan, prueban y clasifican productos agrícolas, acuícolas, alimentos y bebidas en diversas fases de elaboración para garantizar la conformidad con los estándares de calidad. Se pueden desempeñar en plantas de procesamiento de frutas, vegetales, lecherías, panaderías, ingenios, plantas procesadoras de carne y pescado, cervecerías, entre otros."
75160,"
                                        Preparadores y elaboradores de cigarros y productos del tabaco
                                    ","Acondicionador de tabaco. Aromatizador de tabaco"
75210,"
                                        Operarios del tratamiento de la madera
                                    ","Operan, controlan y mantienen equipos y máquinas como aserradoras, cepilladoras, trozadoras, cortadoras, desbastadoras, secadoras, hornos y tanques para el tratamiento de madera en diferentes tamaños y grosores, igualmente, clasifican, preservan y separan la madera de acuerdo con estándares de calidad. Se pueden desempeñar en aserraderos, plantas de tratamiento y procesamiento de madera, entre otros."
75220,"
                                        Ebanistas y carpinteros (excluye carpinteros de armar y de obra blanca)
                                    ","Fabrican, decoran y reparan muebles, gabinetes, elementos de vehículos, equipos, plantillas, maquetas, accesorios y otros productos de madera utilizando máquinas de cortar, moldear, ensamblar, labrar madera y herramientas manuales de uso especial. Se pueden desempeñar en talleres de madera, fabricas de muebles, entre otros."
75230,"
                                        Ajustadores y operadores de máquinas para trabajar madera
                                    ","Preparan, programan, operan y atienden máquinas, equipos, herramientas y aparatos de precisión que se utilizan para aserrar, limar, cepillar, perforar, tornear y tallar con el fin de fabricar o reparar piezas de madera para muebles, accesorios y otros productos. Se pueden desempeñar en fábricas de muebles, empresas de fabricación productos de madera, entre otros."
75310,"
                                        Sastres, modistos, peleteros y sombrereros
                                    ","Auxiliar de diseño de modas. Auxiliar de sastrería. Fabricante de sombreros no artesanal. Maestro de aguja y mesa. Sombrerero no artesanal"
75321,"
                                        Patronistas de productos de tela, cuero y piel
                                    ","Analizar fichas técnicas, bosquejos, muestras de artículos y especificaciones de diseños para determinar número, talla y forma de los patrones y cantidad de tela y cuero requerido para fabricar el producto.. Crear variedad de tallas del patrón principal de una prenda utilizando computador, instrumentos de dibujo y/o aparatos de clasificación.. Comprobar los patrones confeccionando prendas de muestra y ajustándolas.. Verificar el proceso de elaboración de prototipos de acuerdo con especificaciones técnicas.. Desempeñar funciones afines."
75322,"
                                        Cortadores de tela, cuero y piel
                                    ","Auxiliar corte confección"
75330,"
                                        Costureros, bordadores y afines
                                    ","Cosen, reparan, renuevan y bordan prendas de vestir, guantes u otros productos de tela, cuero finos y otros materiales; confeccionan velas para barcos, carpas, toldos y otros artículos de lona impermeable. Su trabajo lo hacen principalmente a mano, con aguja e hilo, pero pueden realizar algunas tareas con máquina de coser. Se pueden desempeñar en talleres de modistería, sastrería, empresas de confección, entre otros."
75340,"
                                        Tapiceros, colchoneros y afines
                                    ","Instalan, reparan y sustituyen tapicerías de muebles, accesorios, artículos de ortopedia, asientos, paneles, capotas y otros elementos de automóviles utilizando tela, cuero, cuero artificial u otros materiales de tapizado. También confeccionan y arreglan cojines, edredones y colchones. Se pueden desempeñar en fábricas de muebles, empresas de colchones, talleres de restauración de muebles, empresas de tapizado automotriz, entre otros."
75350,"
                                        Apelambradores, pellejeros y curtidores
                                    ","Preparan, raspan, limpian, curten y tinturan cueros, pieles o pellejos de animal para producir cuero y pieles utilizados en la confección y manufactura. Se pueden desempeñar en curtiembres y otros establecimientos de tratamiento y tinturado de pieles y cuero, entre otros."
75360,"
                                        Zapateros y afines
                                    ","Confeccionan, fabrican, modifican, reparan, refuerzan y dan acabado a calzado normal, especial, a medida, ortopédico y otros artículos como maletas, bolsos de mano, cinturones (exceptuando prendas de vestir, sombreros y guantes) de cuero natural o artificial, asimismo, participan en la fabricación y decoración de zapatos, maletas, bolsos de mano, cinturones y artículos similares. Se pueden desempeñar en establecimientos de fabricación de calzado, marroquinerías, zapaterías, entre otros."
75410,"
                                        Buzos
                                    ","Soldador bajo el agua. Trabajador bajo el agua"
75420,"
                                        Dinamiteros y pegadores
                                    ","Artillero de canteras. Auxiliar de voladura de minería subterránea. Operario de voladura de minería a cielo abierto"
75431,"
                                        Analistas de calidad de textiles
                                    ","Preparan muestras, examinan y clasifican productos textiles para descubrir defectos, desgastes y desviaciones para asegurar que se cumplan los estándares de calidad y especificaciones. Se pueden desempeñar en empresas textilerías, entre otros."
75432,"
                                        Inspectores de control de calidad, fabricación de productos de tela, piel y cuero
                                    ","Auditor de calidad de calzado. Auditor de calidad de confección. Auditor de calidad de marroquinería"
75433,"
                                        Inspectores de control de calidad, procesamiento de la madera
                                    ","Clasificador madera aserrada. Inspector de calidad de ensamble de muebles y accesorios. Inspector de madera aserrada"
75439,"
                                        Clasificadores y probadores de productos (excluyendo alimentos y bebidas) no clasificados en otras ocupaciones
                                    ","Esta ocupación abarca a Clasificadores y probadores de productos (excluyendo alimentos y bebidas) no clasificados en otras ocupaciones del Grupo Primario 7543Clasificadores y probadores de productos (excluyendo alimentos y bebidas) . Por ejemplo, incluye aquellos que Inspeccionan, prueban, clasifican, muestrean y pesan materias primas, componentes fabricados y artículos no comestibles producidos o vendidos, para asegurar que se cumplan los estándares de calidad y descubrir defectos, desgastes y desviaciones con respecto a las especificaciones y ordenar y clasificar dichos productos de acuerdo con su calidad. Se pueden desempeñar en empresas manufactureras, entre otros."
75440,"
                                        Fumigadores y otros controladores de plagas y malas hierbas
                                    ","Aplicador de fungicida. Aplicador de productos agrícolas. Aseador especializado fumigador. Fumigador agrícola"
75490,"
                                        Otros oficiales, operarios y oficios relacionados no clasificados
                                    ","Esta ocupación abarca a Otros oficiales y operarios no clasificados en otras ocupaciones en el Subgrupo 754 Otros oficiales, operarios y afines. Por ejemplo, incluye aquellos que realizan actividades de trabajo manual como moldear, cortar, esmerilar y pulir lentes ópticos, al igual que manipular y operar juegos pirotécnicos bajo condiciones de seguridad. Se pueden desempeñar en ópticas, empresas fabricantes de productos de vidrio, entre otros."
81111,"
                                        Mineros y canteros
                                    ","Minero de avance. Operador de extractor de arena"
81112,"
                                        Operadores de servicios e instalaciones mineras
                                    ","Ademador de minas. Apuntalador de minas. Operador de apoyo y servicios en minería bajo tierra"
81113,"
                                        Operadores de equipo pesado de minería
                                    ","Operador de equipo de arrastre en minas. Operador de equipo de arrastre en minería subterránea. Operador de excavadora de arrastre para minería. Operador de máquina de arranque continuo en minas"
81120,"
                                        Operadores de instalaciones de procesamiento de minerales y rocas
                                    ","Apurador lavador de mineral. Operador de máquina aserradora de piedra"
81131,"
                                        Perforadores de pozos de gas y petróleo
                                    ","Administrador de taladro industria petrolera. Excavador de agujeros"
81132,"
                                        Perforadores de pozos de agua
                                    ","Operan, supervisan y controlan equipos para la perforación de pozos de agua para fines diversos, realizan servicios de calibración o reparación a instrumentos y equipos. Se pueden desempeñar en empresas de perforación, entre otros."
81133,"
                                        Operadores de servicios en perforación de petróleo y gas
                                    ","Operador de apoyo y servicios en perforación de petróleo y gas"
81134,"
                                        Operadores de producción de hidrocarburos
                                    ","Operar, supervisar y monitorear maquinarias y equipos para los procesos de la producción de hidrocarburos como recibo, separación, compresión, tratamiento, almacenamiento y transferencia de acuerdo procedimiento técnico.. Efectuar lectura de los indicadores y demás instrumentos de medición de los procesos de separación de fluidos, tratamiento, almacenamiento y transporte de los productos y determinar si necesario ajustar o sustituir los equipos.. Supervisar el funcionamiento maquinaria, equipos y herramientas con el fin de prevenir paradas, accidentes o cualquier tipo de anormalidad en los procesos productivos o de prueba.. Ejecutar la operación y control de los procesos de recibo, medición, almacenamiento, despacho y transferencia de fluidos de producción y prueba de pozos de acuerdo normativa y procedimientos establecidos.. Desempeñar funciones afines."
81135,"
                                        Operadores de servicios a pozos de hidrocarburos
                                    ","Operan, supervisan y controlan equipos de servicios a pozos de hidrocarburos como transporte de producto, well testing, haciendo recorrido a pozos, observando condiciones de superficie y mantenimiento de los equipos, realizan el manejo y operaciones a los sistemas de levantamiento artificial y de reacondicionamiento de pozos. Se pueden desempeñar en plantas de producción de hidrocarburos y perforación de pozos, entre otros."
81136,"
                                        Operadores torres de perforación de pozos hidrocarburos
                                    ","Operan, supervisan y controlan equipos en torres de perforación de pozos hidrocarburos de acuerdo con los parámetros dispuestos por los responsables de la operación, identificando los sistemas que conforman el equipo de perforación, manipulando y operando la tubería y herramientas, apoyando en el arme y desarme de la torre de perforación. Se pueden desempeñar plantas de producción de hidrocarburos y perforación de pozos, entre otros."
81140,"
                                        Operadores de máquinas para fabricar cemento y otros productos minerales
                                    ","Extrusor productos de concreto arcilla y piedra. Operador de máquina de acabado de hormigón. Operador de máquina de producción de piedra artificial. Operador de máquina de productos de amianto cemento. Operador de máquina fabricación aglomerados piedra artificial. Operador de máquina para elaborar productos de arena y cemento. Operador de máquina para la fabricación de piedra artificial. Operador de máquina productos amianto. Operador moldeo de arcilla piedra y concreto. Secador asbestos"
81210,"
                                        Operadores de instalaciones de procesamiento de metales
                                    ","Ayudante de tren de laminación. Clasificador de aluminio. Enrollador de acero. Operador de laminadora de acero. Operador de laminadora de acero de tren continuo. Operador de laminadora de acero en caliente. Operador de laminadora de acero en frío. Operador de máquina trefiladora de alambre. Preparador arenas fundición"
81220,"
                                        Operadores de máquinas pulidoras, galvanizadoras y recubridoras de metales
                                    ","Anodizador. Limpiador de metales con chorro de arena. Operador de máquina de acabado de metales. Operador de máquina pulidora automática metales. Operador de máquina recubridora de alambres"
81311,"
                                        Operadores de máquinas de planta química
                                    ","Ensamblador juegos pirotécnicos artificiales. Fabricante de juegos pirotécnicos artificiales. Operador de alambique de perfumería. Operador de alambique para procesos químicos. Operador de alambique para trementina. Operador de autoclave procesamiento químico. Operador de fabricación de abonos. Operador de horno autoclave tratamiento químico. Operador de horno de autoclave de procesamiento químico. Operador de planta fabricación ácidos. Operador en la fabricación de artículos de cera"
81312,"
                                        Operadores de planta de gas
                                    ","Operador autotanques de gas"
81320,"
                                        Operadores de máquinas y procesadores fotográficos y de películas
                                    ","Operador de máquina de ampliación de fotografías"
81410,"
                                        Operadores de máquinas para fabricar productos de caucho
                                    ","Amasador caucho. Operador de máquina amasadora y mezcladora de caucho. Operador de máquina de vulcanización de artículos de caucho"
